"","booking_perc","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","host_since_duration","Dis_Fin","Dis_Dt","Dis_Airport","Dis_UnionSq","amenities_count","final_score","Score","Magnitude"
"132",0.0066079295154185,"Missing",0,"f",4,"t","f","Outer Sunset","t","House","Private room",1,1,1,1,"Airbed",85,595,2550,500,85,1,85,30,730,3,100,10,10,10,9,10,"f",2771,9393.63395745028,7083.55743567155,18353.9926856582,8517.50952795581,21,1.19612258428282,0.799999992,1.96666665866667
"133",0.20704845814978,"Missing",0,"f",1,"t","t","Downtown/Civic Center","t","Apartment","Entire home/apt",2,2,2,2,"Real Bed",130,910,4200,150,150,2,100,30,60,58,98,10,10,10,8,10,"f",2868,1528.38421120399,1042.12837129898,18504.3277923129,559.394053740774,22,1.31382580661269,0.665517242827586,3.89827585012069
"134",0.352112676056338,"within an hour",90,"f",1,"t","t","West of Twin Peaks","t","Guest suite","Entire home/apt",4,1,2,2,"Real Bed",125,850,3000,0,50,2,40,2,1125,309,94,10,9,10,10,9,"t",2765,8752.09395114597,6193.5047739552,14459.12272947,7756.13793686124,35,1.23398883959745,0.661311476419672,3.34557375961967
"135",0.483969465648855,"within an hour",100,"f",1,"t","f","Bayview","t","House","Entire home/apt",4,1,2,2,"Real Bed",120,850,3200,300,150,2,10,30,730,8,93,10,9,10,9,10,"f",2764,8946.05256191779,7526.3587670463,10507.499210952,8263.45300381739,32,1.50611393354316,0.56250001125,6.425000012125
"136",0.52824427480916,"Missing",0,"t",7,"t","f","Chinatown","t","House","Shared room",2,2.5,1,2,"Real Bed",30,210,880,300,0,1,0,30,730,14,95,9,8,10,10,9,"f",2762,402.236791004108,2172.04905215634,19236.4729352445,620.853352029678,19,1.28341443334625,0.699999994428571,3.37857140828571
"137",0.325190839694657,"within an hour",100,"t",1,"t","t","Castro/Upper Market","t","Condominium","Private room",1,1,1,1,"Real Bed",125,1026,3787,0,0,1,50,1,1125,477,97,10,9,10,10,10,"f",2761,4483.67735839807,1996.45784014075,16137.3094322758,3491.21544620857,17,1.21988697068322,0.683755274675105,3.03924049861392
"138",0.421374045801527,"within an hour",100,"t",2,"t","t","North Beach","t","Condominium","Entire home/apt",4,1,1,2,"Real Bed",150,1000,3200,1000,135,2,15,30,30,4,93,10,10,10,10,10,"t",2760,1291.06793131061,3355.63377522994,20688.0616393457,2005.13118542959,21,1.2737634968233,0.774999991,2.849999994
"139",0.874449339207048,"within a few hours",80,"f",3,"t","f","Downtown/Civic Center","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,775,2700,200,125,2,25,30,180,69,94,9,9,10,9,9,"f",2749,2879.0569158206,455.196238816787,17343.4638310688,1883.72471503754,20,1.2550421309946,0.623529412735294,3.89852941213235
"140",0.905343511450382,"Missing",0,"f",1,"t","f","Inner Sunset","t","House","Entire home/apt",6,3,3,4,"Real Bed",580,3150,8900,500,150,5,250,5,180,8,97,10,9,9,9,9,"f",2749,6840.17587768271,4459.33850623829,17621.1007344577,5930.03053853844,32,1.15719745905293,0.587500004125,3.512499928375
"141",0.421374045801527,"within a day",90,"f",4,"t","t","Haight Ashbury","t","Apartment","Entire home/apt",5,1,3,3,"Real Bed",150,2500,5950,550,125,5,0,30,151,80,97,10,10,10,10,9,"f",2747,4761.99061091042,2271.18115823776,17282.9311557607,3804.36711206934,17,1.25780235098438,0.6850000022125,3.28125
